name,geoid,county,state,cases,c_avg,c_avg_100
"Presidio, Texas",48377,Presidio,Texas,0,1.73,25.76
"District of Columbia, District of Columbia",11001,District of Columbia,District of Columbia,0,181.29,25.69
"Del Norte, California",06015,Del Norte,California,0,7.14,25.68
"Schuyler, New York",36097,Schuyler,New York,6,4.57,25.67
"Racine, Wisconsin",55101,Racine,Wisconsin,0,50.29,25.62
"Caroline, Virginia",51033,Caroline,Virginia,0,7.86,25.57
"Kenosha, Wisconsin",55059,Kenosha,Wisconsin,0,43.29,25.53
"Augusta, Virginia",51015,Augusta,Virginia,0,19.29,25.52
"McLennan, Texas",48309,McLennan,Texas,11,65.43,25.5
"Rice, Minnesota",27131,Rice,Minnesota,0,17.0,25.38
"Spotsylvania, Virginia",51177,Spotsylvania,Virginia,0,34.57,25.38
"Clay, Minnesota",27027,Clay,Minnesota,0,16.29,25.36
"Trinity, Texas",48455,Trinity,Texas,0,3.71,25.35
"Pike, Pennsylvania",42103,Pike,Pennsylvania,0,14.14,25.34
"Denver, Colorado",08031,Denver,Colorado,0,184.14,25.32
"Austin, Texas",48015,Austin,Texas,2,7.57,25.21
"Fredericksburg city, Virginia",51630,Fredericksburg city,Virginia,0,7.29,25.09
"Trempealeau, Wisconsin",55121,Trempealeau,Wisconsin,0,7.43,25.06
"Island, Washington",53029,Island,Washington,0,21.29,25.0
"Anoka, Minnesota",27003,Anoka,Minnesota,0,89.14,24.98
"Washington, Wisconsin",55131,Washington,Wisconsin,0,33.71,24.78
"Jefferson, Kentucky",21111,Jefferson,Kentucky,166,189.14,24.67
"Litchfield, Connecticut",09005,Litchfield,Connecticut,0,44.43,24.64
"Whiteside, Illinois",17195,Whiteside,Illinois,0,13.57,24.6
"Langlade, Wisconsin",55067,Langlade,Wisconsin,0,4.71,24.57
"Renville, North Dakota",38075,Renville,North Dakota,0,0.57,24.56
"Buncombe, North Carolina",37021,Buncombe,North Carolina,0,64.14,24.56
"Los Alamos, New Mexico",35028,Los Alamos,New Mexico,0,4.75,24.52
"Chippewa, Wisconsin",55017,Chippewa,Wisconsin,0,15.86,24.52
"Contra Costa, California",06013,Contra Costa,California,0,282.71,24.51
"Shackelford, Texas",48417,Shackelford,Texas,0,0.8,24.5
"Kewaunee, Wisconsin",55061,Kewaunee,Wisconsin,0,5.0,24.47
"Weld, Colorado",08123,Weld,Colorado,0,79.29,24.43
"Columbia, Pennsylvania",42037,Columbia,Pennsylvania,0,15.86,24.41
"Windham, Connecticut",09015,Windham,Connecticut,0,28.43,24.34
"McCracken, Kentucky",21145,McCracken,Kentucky,0,15.86,24.24
"Greene, Illinois",17061,Greene,Illinois,0,3.14,24.23
"Menifee, Kentucky",21165,Menifee,Kentucky,0,1.57,24.22
"Skagway Municipality, Alaska",02230,Skagway Municipality,Alaska,0,0.29,24.15
"New Kent, Virginia",51127,New Kent,Virginia,0,5.57,24.13
"Lake, Michigan",26085,Lake,Michigan,0,2.86,24.1
"Shelby, Missouri",29205,Shelby,Missouri,0,1.43,24.09
"Ashtabula, Ohio",39007,Ashtabula,Ohio,0,23.43,24.09
