name,geoid,pop
"Pike County, Indiana",18125,12144
"Porter County, Indiana",18127,174243
"Posey County, Indiana",18129,25116
"Pulaski County, Indiana",18131,12339
"Putnam County, Indiana",18133,36979
"Randolph County, Indiana",18135,24387
"Ripley County, Indiana",18137,29081
"Rush County, Indiana",18139,16672
"St. Joseph County, Indiana",18141,272212
"Scott County, Indiana",18143,24355
"Shelby County, Indiana",18145,45039
"Spencer County, Indiana",18147,19798
"Starke County, Indiana",18149,23372
"Steuben County, Indiana",18151,34632
"Sullivan County, Indiana",18153,20758
"Switzerland County, Indiana",18155,9790
"Tippecanoe County, Indiana",18157,187076
"Tipton County, Indiana",18159,15372
"Union County, Indiana",18161,7047
"Vanderburgh County, Indiana",18163,179987
"Vermillion County, Indiana",18165,15341
"Vigo County, Indiana",18167,105994
"Wabash County, Indiana",18169,30816
"Warren County, Indiana",18171,8475
"Warrick County, Indiana",18173,64514
"Washington County, Indiana",18175,28102
"Wayne County, Indiana",18177,66456
"Wells County, Indiana",18179,28197
"White County, Indiana",18181,24651
"Whitley County, Indiana",18183,34430
"Iowa, Iowa",19000,3193079
"Adair County, Iowa",19001,7541
"Adams County, Iowa",19003,3641
"Allamakee County, Iowa",19005,13926
"Appanoose County, Iowa",19007,12257
"Audubon County, Iowa",19009,5635
"Benton County, Iowa",19011,25691
"Black Hawk County, Iowa",19013,130368
"Boone County, Iowa",19015,26723
"Bremer County, Iowa",19017,25081
"Buchanan County, Iowa",19019,20657
"Buena Vista County, Iowa",19021,20771
"Butler County, Iowa",19023,14332
"Calhoun County, Iowa",19025,9915
"Carroll County, Iowa",19027,20692
"Cass County, Iowa",19029,13050
"Cedar County, Iowa",19031,18410
"Cerro Gordo County, Iowa",19033,42706
"Cherokee County, Iowa",19035,11503
"Chickasaw County, Iowa",19037,11887
"Clarke County, Iowa",19039,9785
"Clay County, Iowa",19041,16440
"Clayton County, Iowa",19043,16998
"Clinton County, Iowa",19045,46463
"Crawford County, Iowa",19047,16193
"Dallas County, Iowa",19049,103796
"Davis County, Iowa",19051,9138
"Decatur County, Iowa",19053,7659
"Delaware County, Iowa",19055,17510
"Des Moines County, Iowa",19057,38491
"Dickinson County, Iowa",19059,17851
"Dubuque County, Iowa",19061,98718
"Emmet County, Iowa",19063,9321
"Fayette County, Iowa",19065,19258
"Floyd County, Iowa",19067,15413
"Franklin County, Iowa",19069,9952
"Fremont County, Iowa",19071,6567
"Greene County, Iowa",19073,8717
"Grundy County, Iowa",19075,12347
"Guthrie County, Iowa",19077,10567
"Hamilton County, Iowa",19079,14887
"Hancock County, Iowa",19081,10663
"Hardin County, Iowa",19083,16708
"Harrison County, Iowa",19085,14669
"Henry County, Iowa",19087,20387
"Howard County, Iowa",19089,9478
"Humboldt County, Iowa",19091,9634
"Ida County, Iowa",19093,6956
"Iowa County, Iowa",19095,16568
"Jackson County, Iowa",19097,19368
"Jasper County, Iowa",19099,37764
"Jefferson County, Iowa",19101,15647
"Johnson County, Iowa",19103,154748
"Jones County, Iowa",19105,20805
"Keokuk County, Iowa",19107,9914
"Kossuth County, Iowa",19109,14529
"Lee County, Iowa",19111,33215
"Linn County, Iowa",19113,228939
"Louisa County, Iowa",19115,10749
"Lucas County, Iowa",19117,8710
"Lyon County, Iowa",19119,12011
"Madison County, Iowa",19121,16773
"Mahaska County, Iowa",19123,21984
"Marion County, Iowa",19125,33380
"Marshall County, Iowa",19127,39853
"Mills County, Iowa",19129,14465
"Mitchell County, Iowa",19131,10555
"Monona County, Iowa",19133,8574
"Monroe County, Iowa",19135,7610
"Montgomery County, Iowa",19137,10322
"Muscatine County, Iowa",19139,42688
"O'Brien County, Iowa",19141,14015
"Osceola County, Iowa",19143,6159
"Page County, Iowa",19145,15197
"Palo Alto County, Iowa",19147,8906
"Plymouth County, Iowa",19149,25650
"Pocahontas County, Iowa",19151,7074
"Polk County, Iowa",19153,496844
"Pottawattamie County, Iowa",19155,93304
"Poweshiek County, Iowa",19157,18586
"Ringgold County, Iowa",19159,4639
"Sac County, Iowa",19161,9752
"Scott County, Iowa",19163,174170
"Shelby County, Iowa",19165,11770
"Sioux County, Iowa",19167,35893
"Story County, Iowa",19169,99472
"Tama County, Iowa",19171,16867
"Taylor County, Iowa",19173,5868
"Union County, Iowa",19175,12018
"Van Buren County, Iowa",19177,7243
"Wapello County, Iowa",19179,35256
"Warren County, Iowa",19181,53402
"Washington County, Iowa",19183,22491
"Wayne County, Iowa",19185,6508
"Webster County, Iowa",19187,37147
"Winnebago County, Iowa",19189,10656
"Winneshiek County, Iowa",19191,19892
"Woodbury County, Iowa",19193,105607
"Worth County, Iowa",19195,7385
"Wright County, Iowa",19197,12785
"Kansas, Kansas",20000,2934582
"Allen County, Kansas",20001,12464
"Anderson County, Kansas",20003,7778
"Atchison County, Kansas",20005,16239
"Barber County, Kansas",20007,4110
"Barton County, Kansas",20009,25216
"Bourbon County, Kansas",20011,14323
"Brown County, Kansas",20013,9455
"Butler County, Kansas",20015,67889
"Chase County, Kansas",20017,2598
"Chautauqua County, Kansas",20019,3395
"Cherokee County, Kansas",20021,19130
"Cheyenne County, Kansas",20023,2633
"Clark County, Kansas",20025,1977
"Clay County, Kansas",20027,8077
"Cloud County, Kansas",20029,8928
"Coffey County, Kansas",20031,8338
"Comanche County, Kansas",20033,1670
"Cowley County, Kansas",20035,34496
"Crawford County, Kansas",20037,39110
"Decatur County, Kansas",20039,2751
"Dickinson County, Kansas",20041,18459
"Doniphan County, Kansas",20043,7471
"Douglas County, Kansas",20045,119363
"Edwards County, Kansas",20047,2832
"Elk County, Kansas",20049,2441
"Ellis County, Kansas",20051,28790
"Ellsworth County, Kansas",20053,6336
"Finney County, Kansas",20055,38107
"Ford County, Kansas",20057,34159
"Franklin County, Kansas",20059,25986
"Geary County, Kansas",20061,35934
"Gove County, Kansas",20063,2755
"Graham County, Kansas",20065,2400
"Grant County, Kansas",20067,7324
"Gray County, Kansas",20069,5644
"Greeley County, Kansas",20071,1304
"Greenwood County, Kansas",20073,5939
"Hamilton County, Kansas",20075,2484
"Harper County, Kansas",20077,5331
"Harvey County, Kansas",20079,33817
"Haskell County, Kansas",20081,3668
"Hodgeman County, Kansas",20083,1710
"Jackson County, Kansas",20085,13261
"Jefferson County, Kansas",20087,18411
"Jewell County, Kansas",20089,2937
"Johnson County, Kansas",20091,613219
"Kearny County, Kansas",20093,3891
"Kingman County, Kansas",20095,7392
"Kiowa County, Kansas",20097,2392
"Labette County, Kansas",20099,19912
"Lane County, Kansas",20101,1565
"Leavenworth County, Kansas",20103,82184
"Lincoln County, Kansas",20105,2903
"Linn County, Kansas",20107,9747
"Logan County, Kansas",20109,2722
"Lyon County, Kansas",20111,31998
"McPherson County, Kansas",20113,30146
"Marion County, Kansas",20115,11712
"Marshall County, Kansas",20117,9979
"Meade County, Kansas",20119,4022
"Miami County, Kansas",20121,34593
"Mitchell County, Kansas",20123,5748
"Montgomery County, Kansas",20125,31156
"Morris County, Kansas",20127,5356
"Morton County, Kansas",20129,2692
"Nemaha County, Kansas",20131,10216
"Neosho County, Kansas",20133,15784
"Ness County, Kansas",20135,2672
"Norton County, Kansas",20137,5342
"Osage County, Kansas",20139,15768
"Osborne County, Kansas",20141,3498
"Ottawa County, Kansas",20143,5838
"Pawnee County, Kansas",20145,6225
"Phillips County, Kansas",20147,4815
"Pottawatomie County, Kansas",20149,25790
"Pratt County, Kansas",20151,9181
"Rawlins County, Kansas",20153,2549
"Reno County, Kansas",20155,61414
"Republic County, Kansas",20157,4662
"Rice County, Kansas",20159,9390
"Riley County, Kansas",20161,72208
"Rooks County, Kansas",20163,4831
"Rush County, Kansas",20165,2953
"Russell County, Kansas",20167,6703
"Saline County, Kansas",20169,53888
"Scott County, Kansas",20171,5131
"Sedgwick County, Kansas",20173,523828
"Seward County, Kansas",20175,21747
"Shawnee County, Kansas",20177,178264
"Sheridan County, Kansas",20179,2478
"Sherman County, Kansas",20181,5895
"Smith County, Kansas",20183,3576
"Stafford County, Kansas",20185,4034
"Stanton County, Kansas",20187,2044
"Stevens County, Kansas",20189,5293
"Sumner County, Kansas",20191,22385
"Thomas County, Kansas",20193,7877
"Trego County, Kansas",20195,2793
"Wabaunsee County, Kansas",20197,6966
"Wallace County, Kansas",20199,1508
"Washington County, Kansas",20201,5511
"Wichita County, Kansas",20203,2082
"Wilson County, Kansas",20205,8526
"Woodson County, Kansas",20207,3102
"Wyandotte County, Kansas",20209,167046
"Kentucky, Kentucky",21000,4509394
"Adair County, Kentucky",21001,18932
"Allen County, Kentucky",21003,20797
"Anderson County, Kentucky",21005,24035
"Ballard County, Kentucky",21007,7695
"Barren County, Kentucky",21009,44544
"Bath County, Kentucky",21011,12778
"Bell County, Kentucky",21013,23858
"Boone County, Kentucky",21015,137412
"Bourbon County, Kentucky",21017,20229
"Boyd County, Kentucky",21019,47899
"Boyle County, Kentucky",21021,30747
"Bracken County, Kentucky",21023,8439
"Breathitt County, Kentucky",21025,13553
"Breckinridge County, Kentucky",21027,20651
"Bullitt County, Kentucky",21029,82918
"Butler County, Kentucky",21031,12294
"Caldwell County, Kentucky",21033,12624
"Calloway County, Kentucky",21035,37560
"Campbell County, Kentucky",21037,93050
"Carlisle County, Kentucky",21039,4791
"Carroll County, Kentucky",21041,10863
"Carter County, Kentucky",21043,26412
"Casey County, Kentucky",21045,15866
"Christian County, Kentucky",21047,72357
"Clark County, Kentucky",21049,36871
"Clay County, Kentucky",21051,20206
"Clinton County, Kentucky",21053,9265
"Crittenden County, Kentucky",21055,8947
"Cumberland County, Kentucky",21057,5879
"Daviess County, Kentucky",21059,103063
"Edmonson County, Kentucky",21061,12291
"Elliott County, Kentucky",21063,7381
"Estill County, Kentucky",21065,14092
"Fayette County, Kentucky",21067,321793
"Fleming County, Kentucky",21069,15224
"Floyd County, Kentucky",21071,35274
"Franklin County, Kentucky",21073,51682
"Fulton County, Kentucky",21075,6512
"Gallatin County, Kentucky",21077,8775
"Garrard County, Kentucky",21079,17362
"Grant County, Kentucky",21081,25244
"Graves County, Kentucky",21083,36615
"Grayson County, Kentucky",21085,26524
"Green County, Kentucky",21087,11291
"Greenup County, Kentucky",21089,35649
"Hancock County, Kentucky",21091,9064
"Hardin County, Kentucky",21093,111607
"Harlan County, Kentucky",21095,26164
"Harrison County, Kentucky",21097,18950
"Hart County, Kentucky",21099,19460
"Henderson County, Kentucky",21101,44329
"Henry County, Kentucky",21103,15657
"Hickman County, Kentucky",21105,4424
"Hopkins County, Kentucky",21107,45138
"Jackson County, Kentucky",21109,12984
"Jefferson County, Kentucky",21111,777874
"Jessamine County, Kentucky",21113,53626
"Johnson County, Kentucky",21115,22556
"Kenton County, Kentucky",21117,169495
"Knott County, Kentucky",21119,14053
"Knox County, Kentucky",21121,29909
"Larue County, Kentucky",21123,15028
"Laurel County, Kentucky",21125,62561
"Lawrence County, Kentucky",21127,16290
"Lee County, Kentucky",21129,7451
"Leslie County, Kentucky",21131,10278
"Letcher County, Kentucky",21133,21253
"Lewis County, Kentucky",21135,12987
"Lincoln County, Kentucky",21137,24243
"Livingston County, Kentucky",21139,8959
"Logan County, Kentucky",21141,27771
"Lyon County, Kentucky",21143,8803
"McCracken County, Kentucky",21145,67454
"McCreary County, Kentucky",21147,16892
"McLean County, Kentucky",21149,9100
"Madison County, Kentucky",21151,94666
"Magoffin County, Kentucky",21153,11497
"Marion County, Kentucky",21155,19725
"Marshall County, Kentucky",21157,31748
"Martin County, Kentucky",21159,11140
"Mason County, Kentucky",21161,16931
"Meade County, Kentucky",21163,30131
"Menifee County, Kentucky",21165,6194
"Mercer County, Kentucky",21167,22850
"Metcalfe County, Kentucky",21169,10349
"Monroe County, Kentucky",21171,11233
"Montgomery County, Kentucky",21173,28219
"Morgan County, Kentucky",21175,13820
"Muhlenberg County, Kentucky",21177,30694
"Nelson County, Kentucky",21179,47098
"Nicholas County, Kentucky",21181,7712
"Ohio County, Kentucky",21183,23688
"Oldham County, Kentucky",21185,68685
"Owen County, Kentucky",21187,11294
"Owsley County, Kentucky",21189,3953
"Pendleton County, Kentucky",21191,14607
"Perry County, Kentucky",21193,27929
"Pike County, Kentucky",21195,57391
"Powell County, Kentucky",21197,13133
"Pulaski County, Kentucky",21199,65423
"Robertson County, Kentucky",21201,2257
"Rockcastle County, Kentucky",21203,16115
"Rowan County, Kentucky",21205,24861
"Russell County, Kentucky",21207,18156
"Scott County, Kentucky",21209,58252
"Shelby County, Kentucky",21211,48461
"Simpson County, Kentucky",21213,19718
"Spencer County, Kentucky",21215,19916
"Taylor County, Kentucky",21217,26235
"Todd County, Kentucky",21219,12285
"Trigg County, Kentucky",21221,14192
"Trimble County, Kentucky",21223,8530
"Union County, Kentucky",21225,13544
"Warren County, Kentucky",21227,137212
"Washington County, Kentucky",21229,12072
"Wayne County, Kentucky",21231,19540
"Webster County, Kentucky",21233,12813
"Whitley County, Kentucky",21235,36939
"Wolfe County, Kentucky",21237,6507
"Woodford County, Kentucky",21239,27075
"Louisiana, Louisiana",22000,4624047
"Acadia Parish, Louisiana",22001,57288
"Allen Parish, Louisiana",22003,22687
"Ascension Parish, Louisiana",22005,128369
"Assumption Parish, Louisiana",22007,20689
"Avoyelles Parish, Louisiana",22009,39236
"Beauregard Parish, Louisiana",22011,36584
"Bienville Parish, Louisiana",22013,12776
"Bossier Parish, Louisiana",22015,129144
"Caddo Parish, Louisiana",22017,233092
"Calcasieu Parish, Louisiana",22019,205282
"Caldwell Parish, Louisiana",22021,9571
"Cameron Parish, Louisiana",22023,5080
"Catahoula Parish, Louisiana",22025,8805
"Claiborne Parish, Louisiana",22027,14038
"Concordia Parish, Louisiana",22029,18376
"De Soto Parish, Louisiana",22031,26919
"East Baton Rouge Parish, Louisiana",22033,453301
"East Carroll Parish, Louisiana",22035,7220
"East Feliciana Parish, Louisiana",22037,19338
"Evangeline Parish, Louisiana",22039,32215
"Franklin Parish, Louisiana",22041,19668
"Grant Parish, Louisiana",22043,22236
"Iberia Parish, Louisiana",22045,68975
"Iberville Parish, Louisiana",22047,29824
"Jackson Parish, Louisiana",22049,14876
"Jefferson Parish, Louisiana",22051,433688
"Jefferson Davis Parish, Louisiana",22053,32345
"Lafayette Parish, Louisiana",22055,244205
"Lafourche Parish, Louisiana",22057,97504
"LaSalle Parish, Louisiana",22059,14834
"Lincoln Parish, Louisiana",22061,48152
"Livingston Parish, Louisiana",22063,145830
"Madison Parish, Louisiana",22065,9799
"Morehouse Parish, Louisiana",22067,25025
"Natchitoches Parish, Louisiana",22069,37026
"Orleans Parish, Louisiana",22071,376971
"Ouachita Parish, Louisiana",22073,158768
"Plaquemines Parish, Louisiana",22075,23303
"Pointe Coupee Parish, Louisiana",22077,20356
"Rapides Parish, Louisiana",22079,128654
"Red River Parish, Louisiana",22081,7564
"Richland Parish, Louisiana",22083,19805
"Sabine Parish, Louisiana",22085,22135
"St. Bernard Parish, Louisiana",22087,44258
"St. Charles Parish, Louisiana",22089,52282
"St. Helena Parish, Louisiana",22091,10912
"St. James Parish, Louisiana",22093,19742
"St. John the Baptist Parish, Louisiana",22095,42094
"St. Landry Parish, Louisiana",22097,82071
"St. Martin Parish, Louisiana",22099,51540
"St. Mary Parish, Louisiana",22101,48232
"St. Tammany Parish, Louisiana",22103,269388
"Tangipahoa Parish, Louisiana",22105,135217
"Tensas Parish, Louisiana",22107,4043
"Terrebonne Parish, Louisiana",22109,108708
"Union Parish, Louisiana",22111,21091
"Vermilion Parish, Louisiana",22113,57204
"Vernon Parish, Louisiana",22115,48027
"Washington Parish, Louisiana",22117,45133
"Webster Parish, Louisiana",22119,36184
"West Baton Rouge Parish, Louisiana",22121,27792
"West Carroll Parish, Louisiana",22123,9594
"West Feliciana Parish, Louisiana",22125,15494
"Winn Parish, Louisiana",22127,13488
"Maine, Maine",23000,1372247
"Androscoggin County, Maine",23001,111034
"Aroostook County, Maine",23003,66859
"Cumberland County, Maine",23005,305231
"Franklin County, Maine",23007,29687
"Hancock County, Maine",23009,56192
"Kennebec County, Maine",23011,124486
"Knox County, Maine",23013,41084
"Lincoln County, Maine",23015,35828
"Oxford County, Maine",23017,58629
"Penobscot County, Maine",23019,152765
"Piscataquis County, Maine",23021,17165
"Sagadahoc County, Maine",23023,37071
"Somerset County, Maine",23025,50592
"Waldo County, Maine",23027,39912
"Washington County, Maine",23029,31121
"York County, Maine",23031,214591
"Maryland, Maryland",24000,6165129
"Allegany County, Maryland",24001,67729
"Anne Arundel County, Maryland",24003,590336
"Baltimore County, Maryland",24005,849316
"Calvert County, Maryland",24009,93928
"Caroline County, Maryland",24011,33386
"Carroll County, Maryland",24013,173873
"Cecil County, Maryland",24015,103905
"Charles County, Maryland",24017,168698
"Dorchester County, Maryland",24019,32489
"Frederick County, Maryland",24021,279835
"Garrett County, Maryland",24023,28702
"Harford County, Maryland",24025,262977
"Howard County, Maryland",24027,334529
"Kent County, Maryland",24029,19270
"Montgomery County, Maryland",24031,1054827
"Prince George's County, Maryland",24033,955306
"Queen Anne's County, Maryland",24035,50798
"St. Mary's County, Maryland",24037,114468
"Somerset County, Maryland",24039,24584
"Talbot County, Maryland",24041,37626
"Washington County, Maryland",24043,154937
"Wicomico County, Maryland",24045,103980
"Worcester County, Maryland",24047,53132
"Baltimore city, Maryland",24510,576498
"Massachusetts, Massachusetts",25000,6984723
"Barnstable County, Massachusetts",25001,232411
"Berkshire County, Massachusetts",25003,128657
"Bristol County, Massachusetts",25005,580164
"Dukes County, Massachusetts",25007,21097
"Essex County, Massachusetts",25009,807074
"Franklin County, Massachusetts",25011,71015
"Hampden County, Massachusetts",25013,462718
"Hampshire County, Massachusetts",25015,161572
"Middlesex County, Massachusetts",25017,1614742
"Nantucket County, Massachusetts",25019,14491
"Norfolk County, Massachusetts",25021,724505
"Plymouth County, Massachusetts",25023,533003
"Suffolk County, Massachusetts",25025,771245
"Worcester County, Massachusetts",25027,862029
"Michigan, Michigan",26000,10050811
"Alcona County, Michigan",26001,10235
"Alger County, Michigan",26003,8821
"Allegan County, Michigan",26005,120950
"Alpena County, Michigan",26007,28893
"Antrim County, Michigan",26009,23813
"Arenac County, Michigan",26011,14975
"Baraga County, Michigan",26013,8215
"Barry County, Michigan",26015,62992
"Bay County, Michigan",26017,102985
"Benzie County, Michigan",26019,18223
"Berrien County, Michigan",26021,153101
"Branch County, Michigan",26023,44985
"Calhoun County, Michigan",26025,133819
"Cass County, Michigan",26027,51483
"Charlevoix County, Michigan",26029,26086
"Cheboygan County, Michigan",26031,25752
"Chippewa County, Michigan",26033,36816
"Clare County, Michigan",26035,31065
"Clinton County, Michigan",26037,79426
"Crawford County, Michigan",26039,13204
"Delta County, Michigan",26041,36826
"Dickinson County, Michigan",26043,25787
"Eaton County, Michigan",26045,108944
"Emmet County, Michigan",26047,34225
"Genesee County, Michigan",26049,404208
"Gladwin County, Michigan",26051,25485
"Gogebic County, Michigan",26053,14361
"Grand Traverse County, Michigan",26055,95860
"Gratiot County, Michigan",26057,41544
"Hillsdale County, Michigan",26059,45546
"Houghton County, Michigan",26061,37313
"Huron County, Michigan",26063,31252
"Ingham County, Michigan",26065,284034
"Ionia County, Michigan",26067,67197
"Iosco County, Michigan",26069,25369
"Iron County, Michigan",26071,11635
"Isabella County, Michigan",26073,64813
"Jackson County, Michigan",26075,160050
"Kalamazoo County, Michigan",26077,261108
"Kalkaska County, Michigan",26079,17979
"Kent County, Michigan",26081,658046
"Keweenaw County, Michigan",26083,2107
"Lake County, Michigan",26085,12308
"Lapeer County, Michigan",26087,88513
"Leelanau County, Michigan",26089,22623
"Lenawee County, Michigan",26091,98956
"Livingston County, Michigan",26093,195014
"Luce County, Michigan",26095,5309
"Mackinac County, Michigan",26097,10906
"Macomb County, Michigan",26099,876792
"Manistee County, Michigan",26101,25350
"Marquette County, Michigan",26103,66103
"Mason County, Michigan",26105,29383
"Mecosta County, Michigan",26107,40031
"Menominee County, Michigan",26109,23299
"Midland County, Michigan",26111,83457
"Missaukee County, Michigan",26113,15130
"Monroe County, Michigan",26115,155274
"Montcalm County, Michigan",26117,67220
"Montmorency County, Michigan",26119,9297
"Muskegon County, Michigan",26121,176511
"Newaygo County, Michigan",26123,50296
"Oakland County, Michigan",26125,1270017
"Oceana County, Michigan",26127,26815
"Ogemaw County, Michigan",26129,20726
"Ontonagon County, Michigan",26131,5868
"Osceola County, Michigan",26133,23105
"Oscoda County, Michigan",26135,8311
"Otsego County, Michigan",26137,25289
"Ottawa County, Michigan",26139,299157
"Presque Isle County, Michigan",26141,13093
"Roscommon County, Michigan",26143,23633
"Saginaw County, Michigan",26145,189591
"St. Clair County, Michigan",26147,160053
"St. Joseph County, Michigan",26149,60758
"Sanilac County, Michigan",26151,40506
"Schoolcraft County, Michigan",26153,8030
"Shiawassee County, Michigan",26155,67877
"Tuscola County, Michigan",26157,52917
"Van Buren County, Michigan",26159,75658
"Washtenaw County, Michigan",26161,369390
"Wayne County, Michigan",26163,1774816
"Wexford County, Michigan",26165,33901
"Minnesota, Minnesota",27000,5707390
"Aitkin County, Minnesota",27001,15887
"Anoka County, Minnesota",27003,367018
"Becker County, Minnesota",27005,35219
"Beltrami County, Minnesota",27007,46380
"Benton County, Minnesota",27009,41459
"Big Stone County, Minnesota",27011,5145
"Blue Earth County, Minnesota",27013,69280
"Brown County, Minnesota",27015,25819
"Carlton County, Minnesota",27017,36409
"Carver County, Minnesota",27019,108626
"Cass County, Minnesota",27021,30639
"Chippewa County, Minnesota",27023,12357
"Chisago County, Minnesota",27025,57469
"Clay County, Minnesota",27027,65574
"Clearwater County, Minnesota",27029,8576
"Cook County, Minnesota",27031,5617
"Cottonwood County, Minnesota",27033,11569
"Crow Wing County, Minnesota",27035,67270
"Dakota County, Minnesota",27037,442038
"Dodge County, Minnesota",27039,20935
"Douglas County, Minnesota",27041,39238
"Faribault County, Minnesota",27043,13909
"Fillmore County, Minnesota",27045,21271
"Freeborn County, Minnesota",27047,30749
"Goodhue County, Minnesota",27049,47968
"Grant County, Minnesota",27051,6153
"Hennepin County, Minnesota",27053,1267416
"Houston County, Minnesota",27055,18778
"Hubbard County, Minnesota",27057,21715
"Isanti County, Minnesota",27059,41906
"Itasca County, Minnesota",27061,45070
"Jackson County, Minnesota",27063,9990
"Kanabec County, Minnesota",27065,16159
"Kandiyohi County, Minnesota",27067,43767
"Kittson County, Minnesota",27069,4146
"Koochiching County, Minnesota",27071,11941
"Lac qui Parle County, Minnesota",27073,6684
"Lake County, Minnesota",27075,10986
"Lake of the Woods County, Minnesota",27077,3823
"Le Sueur County, Minnesota",27079,28841
"Lincoln County, Minnesota",27081,5567
"Lyon County, Minnesota",27083,25231
"McLeod County, Minnesota",27085,36735
"Mahnomen County, Minnesota",27087,5414
"Marshall County, Minnesota",27089,8988
"Martin County, Minnesota",27091,19915
"Meeker County, Minnesota",27093,23376
"Mille Lacs County, Minnesota",27095,26867
"Morrison County, Minnesota",27097,33992
"Mower County, Minnesota",27099,40158
"Murray County, Minnesota",27101,8144
"Nicollet County, Minnesota",27103,34332
"Nobles County, Minnesota",27105,21991
"Norman County, Minnesota",27107,6416
"Olmsted County, Minnesota",27109,163436
"Otter Tail County, Minnesota",27111,60046
"Pennington County, Minnesota",27113,13780
"Pine County, Minnesota",27115,29302
"Pipestone County, Minnesota",27117,9313
"Polk County, Minnesota",27119,30757
"Pope County, Minnesota",27121,11403
"Ramsey County, Minnesota",27123,543257
"Red Lake County, Minnesota",27125,3933
"Redwood County, Minnesota",27127,15366
"Renville County, Minnesota",27129,14608
"Rice County, Minnesota",27131,67262
"Rock County, Minnesota",27133,9680
"Roseau County, Minnesota",27135,15258
"St. Louis County, Minnesota",27137,199182
"Scott County, Minnesota",27139,153268
"Sherburne County, Minnesota",27141,99074
"Sibley County, Minnesota",27143,14917
"Stearns County, Minnesota",27145,158947
"Steele County, Minnesota",27147,37349
"Stevens County, Minnesota",27149,9700
"Swift County, Minnesota",27151,9749
"Todd County, Minnesota",27153,25237
"Traverse County, Minnesota",27155,3286
"Wabasha County, Minnesota",27157,21509
"Wadena County, Minnesota",27159,14177
"Waseca County, Minnesota",27161,19000
"Washington County, Minnesota",27163,272256
"Watonwan County, Minnesota",27165,11135
"Wilkin County, Minnesota",27167,6395
"Winona County, Minnesota",27169,49630
"Wright County, Minnesota",27171,144845
"Yellow Medicine County, Minnesota",27173,9411
"Mississippi, Mississippi",28000,2949965
"Adams County, Mississippi",28001,28742
"Alcorn County, Mississippi",28003,34349
"Amite County, Mississippi",28005,12637
"Attala County, Mississippi",28007,17742
"Benton County, Mississippi",28009,7646
"Bolivar County, Mississippi",28011,30308
"Calhoun County, Mississippi",28013,13018
"Carroll County, Mississippi",28015,9879
"Chickasaw County, Mississippi",28017,17011
"Choctaw County, Mississippi",28019,8106
"Claiborne County, Mississippi",28021,8908
"Clarke County, Mississippi",28023,15421
"Clay County, Mississippi",28025,18535
"Coahoma County, Mississippi",28027,20810
"Copiah County, Mississippi",28029,27995
"Covington County, Mississippi",28031,18279
"DeSoto County, Mississippi",28033,188633
"Forrest County, Mississippi",28035,77875
"Franklin County, Mississippi",28037,7676
"George County, Mississippi",28039,24762
"Greene County, Mississippi",28041,13630
"Grenada County, Mississippi",28043,21365
"Hancock County, Mississippi",28045,46055
"Harrison County, Mississippi",28047,209396
"Hinds County, Mississippi",28049,222679
"Holmes County, Mississippi",28051,16496
"Humphreys County, Mississippi",28053,7551
"Issaquena County, Mississippi",28055,1280
"Itawamba County, Mississippi",28057,23838
"Jackson County, Mississippi",28059,143987
"Jasper County, Mississippi",28061,16291
"Jefferson County, Mississippi",28063,7205
"Jefferson Davis County, Mississippi",28065,11134
"Jones County, Mississippi",28067,66744
"Kemper County, Mississippi",28069,8829
"Lafayette County, Mississippi",28071,56884
"Lamar County, Mississippi",28073,65353
"Lauderdale County, Mississippi",28075,72088
"Lawrence County, Mississippi",28077,11812
"Leake County, Mississippi",28079,21196
"Lee County, Mississippi",28081,82883
"Leflore County, Mississippi",28083,27557
"Lincoln County, Mississippi",28085,34943
"Lowndes County, Mississippi",28087,58150
"Madison County, Mississippi",28089,109813
"Marion County, Mississippi",28091,24378
"Marshall County, Mississippi",28093,33725
"Monroe County, Mississippi",28095,33883
"Montgomery County, Mississippi",28097,9729
"Neshoba County, Mississippi",28099,28993
"Newton County, Mississippi",28101,21056
"Noxubee County, Mississippi",28103,10123
"Oktibbeha County, Mississippi",28105,51842
"Panola County, Mississippi",28107,32851
"Pearl River County, Mississippi",28109,56503
"Perry County, Mississippi",28111,11571
"Pike County, Mississippi",28113,39973
"Pontotoc County, Mississippi",28115,31445
"Prentiss County, Mississippi",28117,24996
"Quitman County, Mississippi",28119,5935
"Rankin County, Mississippi",28121,158096
"Scott County, Mississippi",28123,27598
"Sharkey County, Mississippi",28125,3663
"Simpson County, Mississippi",28127,25750
"Smith County, Mississippi",28129,14191
"Stone County, Mississippi",28131,18644
"Sunflower County, Mississippi",28133,25402
"Tallahatchie County, Mississippi",28135,12366
"Tate County, Mississippi",28137,28234
"Tippah County, Mississippi",28139,21635
"Tishomingo County, Mississippi",28141,18750
"Tunica County, Mississippi",28143,9696
"Union County, Mississippi",28145,27953
"Walthall County, Mississippi",28147,13836
"Warren County, Mississippi",28149,43579
"Washington County, Mississippi",28151,43687
"Wayne County, Mississippi",28153,19709
"Webster County, Mississippi",28155,9983
"Wilkinson County, Mississippi",28157,8315
"Winston County, Mississippi",28159,17596
"Yalobusha County, Mississippi",28161,12415
"Yazoo County, Mississippi",28163,26373
"Missouri, Missouri",29000,6168187
"Adair County, Missouri",29001,25185
"Andrew County, Missouri",29003,18002
"Atchison County, Missouri",29005,5234
"Audrain County, Missouri",29007,24982
"Barry County, Missouri",29009,34712
"Barton County, Missouri",29011,11658
